N1_1	N2_1	N3_1	N4_1	N5_1	N6_1	C1_1	C2_1	C3_1	C4_1	C5_1	C6_1	N1_2	N2_2	N3_2	N4_2	N5_2	N6_2	C1_2	C2_2	C3_2	C4_2	C5_2	C6_2
P09110	288001.7778	237958.4833	297711.2	263299.0583	222387.2083	177210.95	46353.275	30102.46944	37098.08611	NA	NA	27857.94167	280540.2583	235242.4556	302761.3833	177772.0361	268122.8361	163965.7639	77962.16667	23827.06111	41190.06944	35479.70278	NA	45871.05
P05166	246687.75	253890.9056	314250.0694	258247.0806	284934.4944	245595.875	70504.27222	NA	33680.65278	139288.4583	115138	30488.41389	240054.7583	250479.2778	327799.0389	203666.25	201171.9389	240054.7583	65477.98889	NA	41974.24167	36493.12222	60214.33611	27005.53056
Q96RP9	37872.59722	40359.89444	73975.35	98642.34167	91995.30278	37735.47778	NA	NA	NA	23060.30278	NA	33491.8	39584.43611	67976.03333	46763.47778	34436.2	92823.64722	62603.47222	NA	23631.73889	NA	NA	NA	42678.39444
Q15417	28364.89722	NA	NA	14171.12222	27593.38056	23144.21389	NA	NA	44156.46944	33388.925	49821.31667	24964.95	24907.93611	NA	25129.85556	20057.05833	37526.54444	30434.37222	46053.91944	NA	42948.40278	33116.58889	37786.89722	28736.94444
Q96FQ6	NA	NA	NA	11359.64167	18677.57778	12617.17778	35176.2	66058.38611	30674.60278	NA	41493.97222	22496.77222	NA	NA	20589.93333	NA	18760.08056	NA	36422.79444	75858.82778	31161.05556	NA	39848.8	22619.79444
P62820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32596.28333	NA	NA	NA	NA	NA	NA	54839.00278	48748.28056	NA	43350.85833	42316.625
P27169	NA	58436.30556	NA	NA	NA	36282.92222	47101.825	18128.35	33573.35833	59432.1	39084.55278	16953.34444	NA	NA	NA	NA	NA	38443.16111	45107.12778	19506.66944	38130.55	54990.34444	42825.81667	NA
Q9UL46	33680.65278	59047.325	33256.26111	40286.825	40567.00556	42876.78056	99968.925	145114.2222	141575.7361	114480.7917	104458.4222	83666.13889	33768.26667	59915.42222	38443.16111	29748.37222	31585.27778	36825.06389	111940.7639	151558.8611	113145.4611	89524.71944	89524.71944	72866.16111
P08237	39644.09722	54240.60556	136063.9972	137596.7167	140860.8611	96590.73056	NA	NA	NA	NA	NA	NA	155550.8472	47697.29444	136063.9972	136629.5861	143056.5028	101544.7639	NA	NA	NA	NA	50923.03889	NA
P04040	292456.0528	239229.2278	258247.0806	293727.3139	259314.5667	204722.1472	149632.625	24964.95	220764.4333	179981.8806	124294.3139	77070.33333	290924.3778	237958.4833	271920.3667	297711.2	263299.0583	196996.7833	163095.2222	31389.74722	227900.2778	183892.9583	130557.2361	85740.41667
Q8WYA6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27646.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9H0W9	454591.5833	393512.7472	365975.5472	417999.9306	474797.0194	427427.9944	77225.75	55431.71944	180535.0917	263299.0583	229655.8833	143697.0389	441856.5167	370040.4583	363784.5722	457756.2306	529672.9389	435248.4444	74156.40556	44605.86389	187566.7972	240054.7583	251821.7111	181573.1667
P31948	76018.00556	83516.5	75613.88611	65948.93611	81635.41944	67749.80556	83236.9	137596.7167	110367.1861	122386.3056	129969.2417	124568.0333	69039.95833	85600.46944	65262.98611	65130.74167	94182.11389	63816.85	92656.40278	147792.8639	109273.6861	108770.2389	134155.1972	135737.1806
O94901	57623.33889	NA	72273.86111	58063.49167	NA	NA	NA	NA	NA	NA	NA	NA	60013.65556	NA	71252.18889	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q99714	175372.7444	181096.8333	222387.2083	202618.1889	191537.0444	196208.4583	114480.7917	75400.28333	91466.47222	117389.5083	41135.21111	151044.7472	183892.9583	179981.8806	233372.8583	217235.1083	202618.1889	199390.7111	82644.38333	102286.7944	91325.88611	109838.8889	96933.72222	148188.175
Q15833	14224.84722	14303.04722	16316.32778	11459.84167	12617.17778	14224.84722	24264.99167	19690.86111	NA	14224.84722	NA	9837.458333	13283.71389	20057.05833	17380.48611	16542.78611	15689.55278	16600.60833	28846.58889	12924.71389	NA	21010.81667	28403.81389	21010.81667
P08195	50797.625	63302.14444	85345.175	100616.2694	76579.02222	44010.16389	42825.81667	26628.23889	NA	NA	NA	17146.31111	80199.58056	72273.86111	75858.82778	108554.7139	79584.07222	43023.30556	41362.59722	32198.96944	NA	NA	NA	21831.55556
P26038	333342.6833	421056.1528	241992.2528	367784.6583	404349.8083	292456.0528	438752.2639	381249.475	404349.8083	310472.525	393512.7472	427427.9944	273261.6639	404349.8083	222387.2083	341137.1667	347082.4778	253890.9056	446678.9083	306071.7972	423963.4806	261842.85	359398.6278	393512.7472
P09104	NA	NA	NA	NA	NA	NA	144058.1806	184650.4972	137596.7167	119650.7611	404349.8083	48438.28611	NA	NA	NA	NA	NA	NA	151558.8611	181096.8333	123793.9444	171211.3833	417999.9306	41294.54167
P07148	1219163.714	861796.25	940141.9917	1057986.386	789446.125	221564.9694	34579.48056	NA	NA	NA	NA	NA	1162785.536	805128.3833	970053.3306	1057986.386	838302.8639	227900.2778	32336.43056	NA	NA	NA	NA	NA
Q96Q11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O15083	NA	NA	NA	NA	NA	NA	NA	85740.41667	NA	NA	NA	142306.7667	NA	NA	NA	NA	NA	NA	NA	72396.48333	NA	NA	NA	142679.6028
Q15911	NA	178745.2667	205865.0722	189860.4833	NA	NA	NA	393512.7472	682653.8611	NA	NA	457756.2306	NA	NA	NA	216312.2306	NA	249685.2694	NA	NA	NA	746003.8694	NA	441856.5167
Q9BUR5	35479.70278	27260.10833	40140.37222	47185.33333	28517.16944	40140.37222	NA	15459.05556	NA	13642.38333	NA	NA	34436.2	36956.08333	47858.23889	32882.37222	35358.80556	33768.26667	NA	16653.17778	NA	19983.67222	NA	NA
Q9UJ83	417999.9306	435248.4444	336790.7667	274264.6194	317227.1472	336790.7667	NA	NA	227161.6917	NA	271920.3667	NA	446678.9083	390317.4667	307204.9611	335047.875	333342.6833	327799.0389	NA	NA	211073.8028	214743.125	312295.6222	317227.1472
Q8WUM4	50008.50556	70504.27222	59047.325	52110.30556	67555.47222	68597.03333	34991.43889	50108.55	41611.18333	61553.76944	65262.98611	59827.375	64108.37222	70903.29444	49821.31667	51791.05	65948.93611	64790.48611	40359.89444	49636.30833	37258.59167	52957.46944	77850.57222	66477.81389
P53597	387432.1583	228946.2806	310472.525	299487.4639	245595.875	270810.8833	99433.58889	94932.09444	150524.4639	101732.6806	108554.7139	89524.71944	357417.5972	205171.55	288001.7778	304443.9417	218057.1139	263299.0583	96737.89722	95793.81667	162300.5278	176759.0778	141996.6361	162300.5278
O00186	NA	NA	NA	NA	NA	NA	28468.21111	NA	19019.675	21949.825	NA	NA	15575.29444	NA	NA	NA	NA	NA	29005.53333	NA	NA	27509.79444	NA	NA
Q8N335	52415.71111	59328.50556	54240.60556	50443.02778	52700.48333	45502.31667	NA	NA	21949.825	NA	22321.01111	NA	54737.36111	62380.68889	54839.00278	52194.85833	52572.61389	53332.26944	NA	NA	23827.06111	21381.11389	28517.16944	NA
P08621	48594.65	47269.06944	44306.31944	49636.30833	52477.21389	NA	51791.05	86082.28333	53026.19444	60605.32778	NA	72977.35278	33003.63611	49636.30833	NA	77962.16667	50797.625	58798.93889	60605.32778	93224.90833	56917.53889	71375.86667	54737.36111	76292.56667
Q969V6	NA	55954.91667	74269.09167	NA	72497.49722	89662.875	91325.88611	NA	80102.56944	152627.3278	72497.49722	51690.70556	72021.55278	NA	NA	NA	NA	NA	92973.79722	NA	88904.66111	NA	NA	NA
P08311	NA	46154.89444	NA	NA	NA	NA	NA	NA	67879.775	68927.99444	NA	NA	NA	46895.875	NA	NA	NA	NA	NA	NA	56514.52778	NA	NA	NA
Q9UKU7	46053.91944	50179.16389	64601.65278	41974.24167	41840.20556	42678.39444	31797.31667	NA	NA	NA	NA	NA	46053.91944	49467.07222	61900.07778	45014.49444	40567.00556	44397.45278	NA	NA	NA	NA	NA	NA
Q86X76	75613.88611	61068.98333	80199.58056	84009.8	78547.76944	76153.19167	NA	63988.55	69590.70833	75506.47222	84980.21389	NA	70713.01944	59540.84444	78753.84722	91127.04167	73098.975	67663.88889	NA	70713.01944	73278.35556	88437.70278	90138.99722	41974.24167
P05162	33491.8	35565.02778	52415.71111	36763.91944	35479.70278	24907.93611	NA	NA	36825.06389	72761.175	50008.50556	NA	34916.06389	30730.15278	32815.68333	54478.54167	40420.68611	32270.83611	NA	NA	71139.86111	61777.62778	60416.61111	NA
P23946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P01834	462133.8694	692332.4639	296507.8694	312295.6222	566103.9194	325019.5944	885197.1139	484623.9806	462133.8694	524995.4472	692332.4639	494067.2389	499422.7611	706520.2861	322906.225	321442.6944	540115.8056	248839.1306	1130692.189	469971.2417	438752.2639	509155.2389	670786.8861	387432.1583
P14868	12567.36389	54554.36667	30209.1	29430.84444	61667.10556	81193.98889	110112.0222	136875.9056	121022.2306	182241.5917	201171.9389	247871.4917	76929.26389	54839.00278	50108.55	79458.76944	61346.325	69163.64722	114678.2556	177772.0361	141996.6361	200648.9667	207384.6972	221564.9694
